Comment,Designator,Footprint,LCSC,Quantity
1K,"R0,R10,R11,R12,R16,R5,R6,R7,R8,R9",R_0402_1005Metric,C11702,10
2u2,"C10,C14,C9",C_0402_1005Metric,C12530,3
Pec11L,"VO1,VO2",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,C143799,2
10n,"C0,C16,C19,C20",C_0402_1005Metric,C15195,4
100n,"C1,C15,C2,C3,C4,C5,C6,C7,C8",C_0402_1005Metric,C1525,9
20p,"C17,C18",C_0402_1005Metric,C1554,2
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_GCT_USB4110,C165948,1
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
5K1,"R14,R15",R_0402_1005Metric,C25905,2
SK6812MINI-E,"LED0,LED1,LED2,LED3,LED4,LED5,LED6",LED_6028R,C5149201,7
1u,"C12,C13",C_0402_1005Metric,C52923,2
XC6206PxxxMR,U0,SOT-23-3,C5446,1
W25Q32JVSS,U3,SOIC-8_5.3x5.3mm_P1.27mm,C82344,1
X322512MSB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
Conn_01x02_Socket,J0,PinSocket_1x02_P2.54mm_Vertical,,1
SW_Push,SW1,SW_Hotswap_Kailh_MX_1.50u,,1
Conn_01x02_Socket,J2,PinSocket_1x02_P2.54mm_Vertical,,1
SW_Push,SW0,SW_Hotswap_Kailh_MX_1.00u,,1
SW_Push,SW4,SW_Hotswap_Kailh_MX_1.50u,,1
SW_Push,SW2,SW_Hotswap_Kailh_MX_1.50u,,1
SW_Push,SW5,SW_Hotswap_Kailh_MX_2.25u,,1
Conn_01x04_Socket,J3,PinSocket_1x04_P2.54mm_Vertical,,1
SW_Push,SW3,SW_Hotswap_Kailh_MX_1.50u,,1
SW_Push,SW6,SW_Hotswap_Kailh_MX_2.25u,,1
Conn_01x02_Socket,J4,PinSocket_1x02_P2.54mm_Vertical,,1
Conn_01x04_Socket,J5,PinSocket_1x04_P2.54mm_Vertical,,1
