Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,10n,C_0402_1005Metric,18.722,-15.151,270,bottom
C1,100n,C_0402_1005Metric,121.937,-4.939,180,bottom
C10,2u2,C_0402_1005Metric,124.47,-7.875,180,bottom
C12,1u,C_0402_1005Metric,99.357,-12.171,180,bottom
C13,1u,C_0402_1005Metric,102.354,-14.614,90,bottom
C14,2u2,C_0402_1005Metric,132.05,-13.875,180,bottom
C15,100n,C_0402_1005Metric,132.05,-14.825,180,bottom
C16,10n,C_0402_1005Metric,18.447,-8.803,270,bottom
C17,20p,C_0402_1005Metric,105.5,-16.275,90,bottom
C18,20p,C_0402_1005Metric,107.7,-13.675,0,bottom
C19,10n,C_0402_1005Metric,153.761,-9.013,270,bottom
C2,100n,C_0402_1005Metric,129.467,-9.7,180,bottom
C20,10n,C_0402_1005Metric,153.689,-14.692,270,bottom
C3,100n,C_0402_1005Metric,110.336,-10.937,0,bottom
C4,100n,C_0402_1005Metric,123.67,-16.425,180,bottom
C5,100n,C_0402_1005Metric,116.305,-20.442,270,bottom
C6,100n,C_0402_1005Metric,122.788,-6.797,180,bottom
C7,100n,C_0402_1005Metric,129.477,-10.725,180,bottom
C8,100n,C_0402_1005Metric,111.009,-9.684,0,bottom
C9,2u2,C_0402_1005Metric,125.08,-8.805,180,bottom
J0,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,103.648,-5.118,0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4110,86.25,-2.465,180,bottom
J2,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,107.237,-5.103,0,top
J3,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,114.855,-3.56,-90,top
J4,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,100.012,-5.113,0,top
J5,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,99.143,-18.702,90,top
JP1,BOOT_SEL,PinHeader_1x02_P2.00mm_Vertical,135.034,-35.577,180,bottom
LED0,SK6812MINI-E,LED_6028R,86.25,-21.675,0,bottom
LED1,SK6812MINI-E,LED_6028R,135.75,-45.675,180,bottom
LED2,SK6812MINI-E,LED_6028R,102.75,-45.675,180,bottom
LED3,SK6812MINI-E,LED_6028R,69.75,-45.675,180,bottom
LED4,SK6812MINI-E,LED_6028R,36.75,-45.675,180,bottom
LED5,SK6812MINI-E,LED_6028R,119.25,-87.675,0,bottom
LED6,SK6812MINI-E,LED_6028R,53.25,-87.675,0,bottom
R0,1K,R_0402_1005Metric,20.637,-17.682,270,bottom
R10,1K,R_0402_1005Metric,19.467,-7.731,270,bottom
R11,1K,R_0402_1005Metric,152.723,-7.773,90,bottom
R12,1K,R_0402_1005Metric,109.1,-13.225,270,bottom
R14,5K1,R_0402_1005Metric,85,-6.965,270,bottom
R15,5K1,R_0402_1005Metric,88,-6.965,270,bottom
R16,1K,R_0402_1005Metric,152.626,-16.047,270,bottom
R5,1K,R_0402_1005Metric,20.551,-7.732,270,bottom
R6,1K,R_0402_1005Metric,151.598,-7.763,270,bottom
R7,1K,R_0402_1005Metric,151.576,-16.047,270,bottom
R8,1K,R_0402_1005Metric,19.394,-17.685,90,bottom
R9,1K,R_0402_1005Metric,131.2,-25.625,90,bottom
SW0,SW_Push,SW_Hotswap_Kailh_MX_1.00u,85.6285,-14.2725,180,bottom
SW1,SW_Push,SW_Hotswap_Kailh_MX_1.50u,36.1285,-38.2725,180,bottom
SW2,SW_Push,SW_Hotswap_Kailh_MX_1.50u,69.1285,-38.2725,180,bottom
SW3,SW_Push,SW_Hotswap_Kailh_MX_1.50u,102.1285,-38.2725,180,bottom
SW4,SW_Push,SW_Hotswap_Kailh_MX_1.50u,135.1285,-38.2725,180,bottom
SW5,SW_Push,SW_Hotswap_Kailh_MX_2.25u,52.6285,-80.2725,180,bottom
SW6,SW_Push,SW_Hotswap_Kailh_MX_2.25u,118.6285,-80.2725,180,bottom
U0,XC6206PxxxMR,SOT-23-3,99.7295,-14.65,180,bottom
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,118.5,-11.725,90,bottom
U3,W25Q32JVSS,SOIC-8_5.3x5.3mm_P1.27mm,129.713,-20.0315,360,bottom
VO1,Pec11L,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,3.5,-12.75,180,top
VO2,Pec11L,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,169,-12.675,0,top
Y1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,107.7,-16.275,90,bottom
