Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,10n,C_0402_1005Metric,13.75,-15.07,270.0,bottom
C1,100n,C_0402_1005Metric,118.1,-6.725,180.0,bottom
C10,2u2,C_0402_1005Metric,124.47,-7.875,180.0,bottom
C11,2u2,C_0402_1005Metric,123.17,-6.955,180.0,bottom
C12,10u,C_0402_1005Metric,96.65,-4.175,0.0,bottom
C13,10u,C_0402_1005Metric,97.15,-7.675,270.0,bottom
C14,2u2,C_0402_1005Metric,132.05,-13.875,180.0,bottom
C15,100n,C_0402_1005Metric,132.05,-14.825,180.0,bottom
C16,10n,C_0402_1005Metric,13.88,-8.82,270.0,bottom
C17,20p,C_0402_1005Metric,105.5,-16.275,90.0,bottom
C18,20p,C_0402_1005Metric,107.7,-13.675,0.0,bottom
C19,10n,C_0402_1005Metric,158.125,-7.505,270.0,bottom
C2,100n,C_0402_1005Metric,129.05,-9.775,180.0,bottom
C20,10n,C_0402_1005Metric,157.925,-15.88,270.0,bottom
C3,100n,C_0402_1005Metric,111.87,-10.925,0.0,bottom
C4,100n,C_0402_1005Metric,123.67,-16.425,180.0,bottom
C5,100n,C_0402_1005Metric,114.75,-21.52,270.0,bottom
C6,100n,C_0402_1005Metric,121.1,-6.555,90.0,bottom
C7,100n,C_0402_1005Metric,129.05,-10.725,180.0,bottom
C8,100n,C_0402_1005Metric,111.87,-9.975,0.0,bottom
C9,2u2,C_0402_1005Metric,125.08,-8.805,180.0,bottom
D2,LED,LED_1206_3216Metric,131.8,-10.375,90.0,bottom
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4110,86.25,-2.465,180.0,bottom
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,99.24,-17.225,90.0,bottom
JP1,BOOT_SEL,PinHeader_1x02_P2.00mm_Vertical,135.425,-45.525,90.0,bottom
R0,1K,R_0402_1005Metric,18.8,-15.175,270.0,bottom
R1,1R,R_0402_1005Metric,128.65,-4.165,90.0,bottom
R10,1K,R_0402_1005Metric,17.58,-8.835,270.0,bottom
R11,1K,R_0402_1005Metric,155.525,-7.52,90.0,bottom
R12,1K,R_0402_1005Metric,109.1,-13.225,270.0,bottom
R13,470R,R_0402_1005Metric,125.64,-3.825,180.0,bottom
R14,5K1,R_0402_1005Metric,85.0,-6.965,270.0,bottom
R15,5K1,R_0402_1005Metric,88.0,-6.965,270.0,bottom
R16,1K,R_0402_1005Metric,155.325,-15.875,270.0,bottom
R2,200R,R_0402_1005Metric,128.65,-6.025,90.0,bottom
R3,27R,R_0603_1608Metric,125.8,-11.525,0.0,bottom
R4,27R,R_0603_1608Metric,125.8,-10.025,0.0,bottom
R5,1K,R_0402_1005Metric,18.83,-8.83,270.0,bottom
R6,1K,R_0402_1005Metric,154.4,-7.51,270.0,bottom
R7,1K,R_0402_1005Metric,154.275,-15.875,270.0,bottom
R8,1K,R_0402_1005Metric,17.55,-15.165,90.0,bottom
R9,1K,R_0402_1005Metric,131.2,-25.625,90.0,bottom
SW0,SW_Push,SW_Hotswap_Kailh_MX_1.00u,85.6285,-14.2725,0.0,top
SW1,SW_Push,SW_Hotswap_Kailh_MX_1.50u,36.1285,-38.2725,0.0,top
SW2,SW_Push,SW_Hotswap_Kailh_MX_1.50u,69.1285,-38.2725,0.0,top
SW3,SW_Push,SW_Hotswap_Kailh_MX_1.50u,102.1285,-38.2725,0.0,top
SW4,SW_Push,SW_Hotswap_Kailh_MX_1.50u,135.1285,-38.2725,0.0,top
SW5,SW_Push,SW_Hotswap_Kailh_MX_2.25u,52.6285,-80.2725,0.0,top
SW6,SW_Push,SW_Hotswap_Kailh_MX_2.25u,118.6285,-80.2725,0.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,118.5,-11.725,90.0,bottom
U2,AMS1117-3.3,SOT-223-3_TabPin2,102.05,-6.525,180.0,bottom
U3,W25Q128JVSIQ,SOIC-8_5.23x5.23mm_P1.27mm,129.7,-19.975,90.0,bottom
VO1,Pec11L,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,3.5,-12.75,180.0,top
VO2,Pec11L,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,169.0,-12.675,0.0,top
Y1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,107.7,-16.275,90.0,bottom
